"filename","baybayin_text","latin_text"
"sentence_1.png","ᜃᜁᜎᜉᜈ᜔   ᜋ᜕ᜉ᜔   ᜁᜆ᜕ᜇ᜕
ᜀᜉ᜔   ᜉᜄ᜔ᜆᜃ᜔ᜊ᜕   ᜉᜇ
ᜑ᜔ᜈ᜔ᜇ᜔   ᜃ   ᜋᜁᜏᜈ᜔","Kailangan mong itodo ang pagtakbo para hindi ka maiwan."
"sentence_2.png","ᜃ᜕ᜉ᜔   ᜄ᜕ᜐ᜔ᜆ᜕   ᜋ᜕ᜉ᜔
ᜄ᜕ᜋᜎ᜔ᜉ᜔   ᜁᜆ᜕ᜇ᜕   ᜋ᜕
ᜀᜉ᜔   ᜉᜄ᜔ᜐᜐᜈᜌ᜔","Kung gusto mong gumaling, itodo mo ang pagsasanay."
"sentence_3.png","ᜁᜆ᜕ᜇ᜕   ᜋ᜕   ᜀᜉ᜔
ᜀᜉ᜕ᜌ᜔   ᜉ᜔   ᜃᜎᜈ᜔
ᜉᜇ   ᜋᜊ᜔ᜎ᜔ᜐ᜔   ᜋᜎ᜕ᜆ᜕","Itodo mo ang apoy ng kalan para mabilis maluto."
"sentence_4.png","ᜐ᜕ᜊ᜕ᜃᜈ᜔   ᜋ᜕ᜉ᜔   ᜁᜆ᜕ᜇ᜕
ᜀᜉ᜔   ᜊᜏᜆ᜔   ᜄᜎᜏ᜔
ᜐ   ᜐᜌᜏ᜔   ᜈ
ᜁᜆ᜕","Subukan mong itodo ang bawat galaw sa sayaw na ito."
"sentence_5.png","ᜀᜉ᜔   ᜉᜌ᜕   ᜃ᜕
ᜐ   ᜁᜌ᜕   ᜀᜌ᜔
ᜁᜆ᜕ᜇ᜕   ᜋ᜕   ᜀᜉ᜔
ᜉᜄ᜔ᜆ᜕ᜂᜈ᜔   ᜐ   ᜄ᜕ᜀᜎ᜔
ᜋ᜕","Ang payo ko sa iyo ay itodo mo ang pagtuon sa goal mo."
"sentence_6.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜐ᜔ᜌ   ᜈᜄ᜔ᜇᜎᜏᜉ᜔ᜐ᜔ᜉ᜔
ᜈ   ᜁᜆ᜕ᜇ᜕   ᜀᜉ᜔
ᜉᜄ᜔ᜊ᜔ᜊ᜔ᜄᜌ᜔   ᜉ᜔   ᜇ᜕ᜈᜐ᜔ᜌ᜕ᜈ᜔
ᜐ   ᜋ᜔ᜄ   ᜋᜑ᜔ᜑ᜔ᜇᜉ᜔","Hindi siya nagdalawang-isip na itodo ang pagbibigay ng donasyon sa mga mahihirap."
"sentence_7.png","ᜉᜇ   ᜋᜃ᜕ᜑ   ᜀᜉ᜔
ᜄ᜕ᜐ᜔ᜆ᜕   ᜋ᜕   ᜃᜁᜎᜉᜈ᜔
ᜋ᜕ᜉ᜔   ᜁᜆ᜕ᜇ᜕   ᜀᜉ᜔
ᜐ᜔ᜃᜉ᜔","Para makuha ang gusto mo, kailangan mong itodo ang sikap."
"sentence_8.png","ᜁᜆ᜕ᜇ᜕   ᜋ᜕   ᜀᜉ᜔
ᜂᜂᜐ᜔   ᜋ᜕   ᜑᜊᜉ᜔
ᜈᜄ᜔ᜁᜀᜋ᜔","Itodo mo ang focus mo habang nag-eexam."
"sentence_9.png","ᜇᜉᜆ᜔   ᜈᜆ᜔ᜉ᜔   ᜁᜆ᜕ᜇ᜕
ᜀᜉ᜔   ᜉᜄ᜔ᜁᜉᜆ᜔   ᜐ
ᜉᜈᜑ᜕ᜈ᜔   ᜉ᜔   ᜉᜈ᜔ᜇ᜔ᜋ᜔ᜌ","Dapat nating itodo ang pag-iingat sa panahon ng pandemya."
"sentence_10.png","ᜐᜊ᜔   ᜉ᜔   ᜂᜀᜑ᜔
ᜁᜆ᜕ᜇ᜕   ᜇᜏ᜔   ᜈᜋ᜔ᜈ᜔
ᜀᜉ᜔   ᜉᜄ᜔ᜎᜎᜇ᜕","Sabi ng coach, itodo raw namin ang paglalaro."
"sentence_11.png","ᜈᜁᜐ᜔   ᜈ᜔ᜌᜉ᜔   ᜁᜆ᜕ᜇ᜕
ᜀᜉ᜔   ᜎᜃᜐ᜔   ᜉ᜔
ᜋ᜕ᜐ᜔ᜃ   ᜉᜇ   ᜋᜐ᜔
ᜋᜄ᜔ᜉ᜔   ᜋᜊ᜕ᜑᜌ᜔   ᜀᜉ᜔
ᜑᜈ᜔ᜇᜀᜈ᜔","Nais niyang itodo ang lakas ng musika para mas maging mabuhay ang handaan."
"sentence_12.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜐᜉᜆ᜔   ᜀᜉ᜔
ᜃᜎᜑᜆ᜔   ᜇᜉᜆ᜔   ᜋ᜕ᜉ᜔
ᜁᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜄ᜔ᜈᜄᜏ
ᜋ᜕","Hindi sapat ang kalahati, dapat mong itodo ang ginagawa mo."
"sentence_13.png","ᜃ᜕ᜉ᜔   ᜃᜌ   ᜋ᜕ᜉ᜔
ᜁᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜊ᜔ᜎ᜔ᜐ᜔
ᜉ᜔   ᜃ᜕ᜆ᜔ᜐ᜔   ᜄᜏ᜔ᜈ᜔
ᜋ᜕   ᜁᜆ᜕   ᜈᜉ᜔
ᜋᜌ᜔   ᜉᜄ᜔ᜁᜉᜆ᜔","Kung kaya mong itodo ang bilis ng kotse, gawin mo ito nang may pag-iingat."
