"filename","baybayin_text","latin_text"
"sentence_1.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜀᜃ᜕   ᜉ᜔
ᜊᜄ᜕ᜉ᜔   ᜆ᜔ᜎ   ᜉᜇ
ᜐ   ᜇᜋ᜔ᜆ᜔   ᜃ᜕","Bumili ako ng bagong tela para sa damit ko."
"sentence_2.png","ᜋᜄᜈ᜔ᜇ   ᜀᜉ᜔   ᜆ᜔ᜎ
ᜈ   ᜈᜉ᜔ᜎ᜔   ᜋ᜕","Maganda ang tela na napili mo."
"sentence_3.png","ᜋᜃᜉᜎ᜔   ᜀᜉ᜔   ᜆ᜔ᜎ
ᜉ᜔   ᜃ᜕ᜇ᜔ᜆ᜔ᜈ   ᜈᜋ᜔ᜈ᜔","Makapal ang tela ng kurtina namin."
"sentence_4.png","ᜑ᜔ᜈᜏᜃᜈ᜔   ᜃ᜕   ᜀᜉ᜔
ᜆ᜔ᜎ   ᜃ᜕ᜉ᜔   ᜋᜎᜋ᜔ᜊ᜕ᜆ᜔
ᜊ   ᜁᜆ᜕","Hinawakan ko ang tela kung malambot ba ito."
"sentence_5.png","ᜃ᜕ᜎᜉ᜔   ᜉ   ᜀᜉ᜔
ᜆ᜔ᜎ   ᜉᜇ   ᜐ
ᜉ᜔ᜇ᜕ᜌ᜔ᜃ᜔ᜆ᜕   ᜃ᜕","Kulang pa ang tela para sa proyekto ko."
"sentence_6.png","ᜉ᜔ᜈ᜔ᜎ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜆ᜔ᜎ   ᜈ   ᜃ᜕ᜎᜌ᜔
ᜉ᜕ᜎ","Pinili niya ang tela na kulay pula."
"sentence_7.png","ᜋᜈ᜔ᜉ᜔ᜐ᜔   ᜀᜉ᜔   ᜆ᜔ᜎ
ᜃᜌ   ᜉ᜔ᜇ᜔ᜐ᜔ᜃ᜕   ᜁᜐ᜕ᜂᜆ᜔","Manipis ang tela kaya presko isuot."
"sentence_8.png","ᜐᜀᜈ᜔   ᜈᜃᜃᜊ᜔ᜎ᜔   ᜉ᜔
ᜄᜈ᜔ᜆ᜕ᜉ᜔   ᜃ᜔ᜎᜐ᜔ᜉ᜔   ᜆ᜔ᜎ","Saan nakakabili ng gantong klaseng tela?"
"sentence_9.png","ᜄ᜔ᜈ᜕ᜉ᜔ᜆ᜔   ᜈ᜔   ᜈᜈᜌ᜔
ᜀᜉ᜔   ᜆ᜔ᜎ   ᜃᜈ᜔ᜈ","Ginupit ni Nanay ang tela kanina."
"sentence_10.png","ᜋᜆᜀᜐ᜔   ᜀᜉ᜔   ᜃᜎ᜔ᜇᜇ᜔
ᜉ᜔   ᜆ᜔ᜎ   ᜈ᜔ᜎ","Mataas ang kalidad ng tela nila."
