"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜎ᜔ᜊ᜔ᜇ᜕   ᜀᜌ᜔
ᜈᜐ   ᜋ᜔ᜐ","Ang libro ay nasa mesa."
"sentence_2.png","ᜉᜃ᜔ᜀᜊ᜕ᜆ᜔   ᜀᜉ᜔   ᜀᜐ᜔ᜈ᜔
ᜐ   ᜋ᜔ᜐ","Pakiabot ang asin sa mesa."
"sentence_3.png","ᜃᜁᜎᜉᜈ᜔   ᜃ᜕   ᜉ᜔
ᜋᜐ᜔   ᜋᜎᜃ᜔ᜉ᜔   ᜋ᜔ᜐ","Kailangan ko ng mas malaking mesa."
"sentence_4.png","ᜋᜌ᜔   ᜊᜄ᜕ᜉ᜔   ᜋ᜔ᜐ
ᜐ   ᜃ᜕ᜐ᜔ᜈ","May bagong mesa sa kusina."
"sentence_5.png","ᜎ᜔ᜈ᜔ᜐ᜔ᜈ᜔   ᜋ᜕   ᜀᜉ᜔
ᜋ᜔ᜐ   ᜉᜄ᜔ᜃᜆᜉ᜕ᜐ᜔   ᜃ᜕ᜋᜁᜈ᜔","Linisin mo ang mesa pagkatapos kumain."
"sentence_6.png","ᜁᜆ᜕   ᜀᜉ᜔   ᜄ᜔ᜈᜄᜋ᜔ᜆ᜔
ᜈᜋ᜔ᜉ᜔   ᜋ᜔ᜐ   ᜐ
ᜂᜉ᜔ᜐ᜔ᜈ","Ito ang ginagamit naming mesa sa opisina."
"sentence_7.png","ᜑ᜕ᜏᜄ᜔   ᜋ᜕ᜉ᜔   ᜁᜉᜆ᜕ᜉ᜔
ᜀᜉ᜔   ᜉᜀ   ᜋ᜕
ᜐ   ᜋ᜔ᜐ","Huwag mong ipatong ang paa mo sa mesa."
"sentence_8.png","ᜈᜃᜑ᜔ᜄ   ᜀᜉ᜔   ᜉ᜕ᜐ
ᜐ   ᜁᜎᜎ᜔ᜋ᜔   ᜉ᜔
ᜋ᜔ᜐ","Nakahiga ang pusa sa ilalim ng mesa."
"sentence_9.png","ᜋᜌ᜔   ᜊ᜕ᜎᜃ᜔ᜎᜃ᜔   ᜐ
ᜄ᜔ᜆ᜔ᜈ   ᜉ᜔   ᜋ᜔ᜐ","May bulaklak sa gitna ng mesa."
"sentence_10.png","ᜀᜉ᜔   ᜃᜉ᜔   ᜀᜌ᜔
ᜈᜐ   ᜁᜊᜊᜏ᜔   ᜉ᜔
ᜋ᜔ᜐ","Ang kape ay nasa ibabaw ng mesa."
