"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜋᜎᜃ᜔ᜉ᜔   ᜊ᜕ᜆ᜔
ᜉ᜔   ᜆ᜕ᜊ᜔ᜄ᜔   ᜀᜌ᜔
ᜈᜐ   ᜎᜋ᜔ᜐ","Ang malaking bote ng tubig ay nasa lamesa."
"sentence_2.png","ᜋ᜕ᜈ᜔ᜆ᜔ᜃ᜔   ᜃ᜕ᜉ᜔   ᜋᜊ᜔ᜆᜏᜈ᜔
ᜀᜉ᜔   ᜊᜐ᜕   ᜊ᜕ᜆ᜔
ᜈᜐᜎ᜕   ᜃ᜕","Muntik kong mabitawan ang baso buti nasalo ko."
"sentence_3.png","ᜈᜊᜐᜄ᜔   ᜀᜉ᜔   ᜊ᜕ᜆ᜔
ᜉ᜔   ᜐᜇ᜔ᜐ   ᜈᜉ᜔
ᜋᜑ᜕ᜎ᜕ᜄ᜔","Nabasag ang bote ng sarsa nang mahulog."
"sentence_4.png","ᜋᜎᜃ᜔ᜉ᜔   ᜊ᜕ᜆ᜔   ᜀᜉ᜔
ᜑᜆ᜔ᜇ᜔   ᜉ᜔   ᜉᜄ᜔ᜆ᜕ᜎ᜕ᜉ᜔
ᜐ   ᜃᜉ᜔ᜏ","Malaking buti ang hatid ng pagtulong sa kapwa."
"sentence_5.png","ᜉᜃ᜔   ᜀᜊ᜕ᜆ᜔   ᜋ᜕
ᜀᜉ᜔   ᜊ᜕ᜆ᜔   ᜉ᜔
ᜐ᜕ᜃ   ᜐ   ᜀᜃ᜔ᜈ᜔","Paki abot mo ang bote ng suka sa akin."
"sentence_6.png","ᜈᜁᜏᜈ᜔   ᜃ᜕   ᜀᜉ᜔
ᜉ᜔ᜇ   ᜃ᜕   ᜐ
ᜎᜊᜐ᜔   ᜊ᜕ᜆ᜔   ᜑ᜔ᜈ᜔ᜇ᜔
ᜁᜆ᜕   ᜈᜏᜎ","Naiwan ko ang pera ko sa labas buti hindi ito nawala."
"sentence_7.png","ᜊ᜔ᜈ᜕ᜃ᜔ᜐᜈ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜊ᜕ᜆ᜔   ᜉ᜔   ᜆ᜕ᜊ᜔ᜄ᜔
ᜉᜇ   ᜁᜈ᜕ᜋ᜔ᜈ᜔","Binuksan niya ang bote ng tubig para inumin."
"sentence_8.png","ᜈᜉ᜕ᜆ᜕ᜎ᜔   ᜀᜉ᜔   ᜎᜉ᜔ᜐ᜔
ᜃ᜕   ᜊ᜕ᜆ᜔   ᜋᜌ᜔
ᜉᜈ᜔ᜇ᜔ᜃ᜔ᜆ᜔   ᜀᜃ᜕","Naputol ang lapis ko buti may pandikit ako."
"sentence_9.png","ᜉ᜕ᜈ᜕   ᜉ᜔   ᜊ᜕ᜆ᜔
ᜉ᜔   ᜀᜎᜃ᜔   ᜀᜉ᜔
ᜃ᜔ᜏᜇ᜔ᜆ᜕   ᜈ᜔   ᜃ᜕ᜌ","Puno ng bote ng alak ang kwarto ni kuya."
"sentence_10.png","ᜈᜏᜎ   ᜀᜉ᜔   ᜉᜉ᜔ᜎ᜔
ᜈ   ᜉ᜔ᜈᜐ   ᜃ᜕
ᜊ᜕ᜆ᜔   ᜋᜌ᜔   ᜃ᜕ᜉ᜔ᜌ
ᜉ   ᜀᜃ᜕","Nawala ang papel na pinasa ko buti may kopya pa ako."
"sentence_11.png","ᜈᜃᜃ᜔ᜆ   ᜀᜃ᜕   ᜉ᜔
ᜊᜐᜄ᜔   ᜈ   ᜊ᜕ᜆ᜔
ᜐ   ᜃᜎ᜔ᜐᜇ","Nakakita ako ng basag na bote sa kalsada."
"sentence_12.png","ᜈᜊᜐᜄ᜔   ᜀᜉ᜔   ᜉ᜔ᜎᜆ᜕
ᜃ᜕   ᜊ᜕ᜆ᜔   ᜑ᜔ᜈ᜔ᜇ᜔
ᜀᜃ᜕   ᜈᜐ᜕ᜄᜆᜈ᜔","Nabasag ang plato ko buti hindi ako nasugatan."
"sentence_13.png","ᜀᜉ᜔   ᜊ᜕ᜆ᜔   ᜉ᜔
ᜄᜋ᜕ᜆ᜔   ᜀᜌ᜔   ᜏᜎᜉ᜔
ᜆᜃ᜔ᜉ᜔","Ang bote ng gamot ay walang takip."
"sentence_14.png","ᜈᜃᜎ᜔ᜋ᜕ᜆᜈ᜔   ᜃ᜕ᜉ᜔   ᜁᜐᜇ
ᜀᜉ᜔   ᜉ᜔ᜆᜃ   ᜃ᜕
ᜊ᜕ᜆ᜔   ᜏᜎᜉ᜔   ᜈᜏᜎ","Nakalimutan kong isara ang pitaka ko buti walang nawala."
"sentence_15.png","ᜀᜉ᜔   ᜊ᜕ᜆ᜔   ᜀᜌ᜔
ᜄᜏ   ᜐ   ᜐᜎᜋ᜔ᜈ᜔
ᜀᜆ᜔   ᜄ᜔ᜈᜄᜋ᜔ᜆ᜔   ᜊ᜔ᜎᜉ᜔
ᜐ᜔ᜐ᜔ᜇ᜔ᜎᜈ᜔   ᜉ᜔   ᜋ᜔ᜄ
ᜎ᜔ᜃ᜔ᜇ᜕","Ang bote ay gawa sa salamin at ginagamit bilang sisidlan ng mga likido."
