"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜊᜆ   ᜀᜌ᜔
ᜋᜐᜌᜉ᜔   ᜈᜄ᜔ᜎᜇ᜕   ᜉ᜔
ᜊ᜕ᜎ   ᜐ   ᜊᜃ᜕ᜇᜈ᜔","Ang bata ay masayang naglaro ng bola sa bakuran."
"sentence_2.png","ᜋᜎᜃ᜔   ᜀᜉ᜔   ᜊ᜕ᜎ
ᜉ᜔   ᜊᜐ᜔ᜃ᜔ᜆ᜔ᜊᜎ᜔ᜎ᜔   ᜈ
ᜑᜏᜃ᜔   ᜈ᜔ᜌ","Malaki ang bola ng basketball na hawak niya."
"sentence_3.png","ᜉ᜕ᜆ᜔   ᜀᜉ᜔   ᜃ᜕ᜎᜌ᜔
ᜉ᜔   ᜊ᜕ᜎ   ᜉ᜔
ᜐ᜕ᜁᜇ᜔","Puti ang kulay ng bola ng soccer."
"sentence_4.png","ᜊ᜔ᜎ᜕ᜄ᜔   ᜈ   ᜊ᜔ᜎ᜕ᜄ᜔
ᜀᜉ᜔   ᜊ᜕ᜎ   ᜉ᜔
ᜊ᜕ᜏ᜔ᜎ᜔ᜉ᜔","bilog na bilog ang bola ng bowling."
"sentence_5.png","ᜐ᜔ᜈ᜔ᜐ᜔ᜉ   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜊ᜕ᜎ   ᜉᜆ᜕ᜉ᜕   ᜐ
ᜄ᜕ᜀᜎ᜔","Sinisipa niya ang bola patungo sa goal."
"sentence_6.png","ᜄᜏ   ᜐ   ᜄ᜕ᜋ
ᜀᜉ᜔   ᜋ᜔ᜄ   ᜊ᜕ᜎ
ᜈ   ᜄ᜔ᜈᜄᜋ᜔ᜆ᜔   ᜐ
ᜊᜐ᜔ᜃ᜔ᜆ᜔ᜊᜎ᜔ᜎ᜔","Gawa sa goma ang mga bola na ginagamit sa basketball."
"sentence_7.png","ᜀᜉ᜔   ᜉ᜕ᜐ   ᜀᜌ᜔
ᜋᜌ᜔   ᜈ᜔ᜎᜎᜇ᜕ᜉ᜔   ᜊ᜕ᜎ","Ang pusa ay may nilalarong bola."
"sentence_8.png","ᜀᜉ᜔   ᜊ᜕ᜎ   ᜈ᜔
ᜉ᜔ᜇ᜔ᜇ᜕   ᜀᜌ᜔   ᜈᜏᜎ
ᜐ   ᜎᜄᜌᜈ᜔","Ang bola ni Pedro ay nawala sa lagayan."
"sentence_9.png","ᜈᜊᜐᜄ᜔   ᜀᜉ᜔   ᜉ᜔ᜎ᜕ᜇ᜔ᜇ
ᜇᜑ᜔ᜎ᜔   ᜐ   ᜆ᜕ᜋᜆᜎ᜔ᜊ᜕ᜄ᜔
ᜈ   ᜊ᜕ᜎ","Nabasag ang plorera dahil sa tumatalbog na bola."
"sentence_10.png","ᜈᜑ᜕ᜎ᜕ᜄ᜔   ᜀᜉ᜔   ᜊ᜕ᜎ
ᜐ   ᜊ᜕ᜊ᜕ᜉ᜔   ᜉ᜔
ᜃᜉ᜔ᜆ᜔ᜊᜑᜌ᜔","Nahulog ang bola sa bubong ng kapitbahay."
"sentence_11.png","ᜑ᜔ᜈᜄ᜔ᜐ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜊ᜕ᜎ   ᜈᜉ᜔   ᜋᜎᜃᜐ᜔","Hinagis niya ang bola nang malakas."
"sentence_12.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜀᜃ᜕   ᜈᜈ᜔ᜈ᜔ᜏᜎ
ᜈ   ᜑ᜔ᜈ᜔ᜇ᜔   ᜃ
ᜈᜄ᜔ᜎᜎᜇ᜕   ᜉ᜔   ᜊ᜕ᜎ","Hindi ako naniniwala na hindi ka naglalaro ng bola."
