"filename","baybayin_text","latin_text"
"sentence_1.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜐ᜕ᜉ᜕ᜇ᜔ᜆ
ᜉ᜔   ᜉᜋ᜔ᜎ᜔ᜌ   ᜈ᜔ᜌ
ᜐ   ᜉᜄᜀᜇᜎ᜔   ᜈ᜔ᜌ","Todo ang suporta ng pamilya niya sa pag-aaral niya."
"sentence_2.png","ᜈᜄ᜔ᜈ᜔ᜐᜌ᜕   ᜐ᜔ᜌ   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜉᜇ   ᜐ
ᜑ᜕ᜎ᜔ᜉ᜔   ᜎᜊᜈ᜔","Nag-ensayo siya nang todo para sa huling laban."
"sentence_3.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜐ᜔ᜄᜏ᜔
ᜉ᜔   ᜋ᜔ᜄ   ᜀᜈ᜔ᜐ᜔
ᜐ   ᜂᜈ᜔ᜁᜇ᜔ᜆ᜔","Todo ang sigaw ng mga fans sa concert."
"sentence_4.png","ᜃ᜕ᜋᜁᜈ᜔   ᜀᜃ᜕   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜇᜑ᜔ᜎ᜔   ᜄ᜕ᜆ᜕ᜋ᜔
ᜈ   ᜄ᜕ᜆ᜕ᜋ᜔   ᜀᜃ᜕","Kumain ako nang todo dahil gutom na gutom ako."
"sentence_5.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜁᜂᜇ᜔ᜆ᜔
ᜈ᜔ᜌ   ᜐ   ᜉᜄ᜔ᜄᜏ
ᜉ᜔   ᜉ᜔ᜇ᜕ᜁᜆ᜔","Todo ang effort niya sa paggawa ng project."
"sentence_6.png","ᜈᜄ᜔ᜎ᜔ᜈ᜔ᜐ᜔   ᜃᜋ᜔   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜊᜄ᜕   ᜇ᜕ᜋᜆ᜔ᜉ᜔
ᜀᜉ᜔   ᜊ᜔ᜐ᜔ᜆ","Naglinis kami nang todo bago dumating ang bisita."
"sentence_7.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜐᜌ
ᜉ᜔   ᜋ᜔ᜄ   ᜊᜆ
ᜐ   ᜑᜈ᜔ᜇᜀᜈ᜔","Todo ang saya ng mga bata sa handaan."
"sentence_8.png","ᜈᜄᜇᜎ᜔   ᜐ᜔ᜌ   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜉᜇ   ᜉ᜕ᜋᜐ
ᜐ   ᜉᜄ᜔ᜐ᜕ᜐ᜕ᜎ᜔ᜆ᜔","Nag-aral siya nang todo para pumasa sa pagsusulit."
"sentence_9.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜃᜊ
ᜃ᜕   ᜑᜊᜉ᜔   ᜑ᜔ᜈ᜔ᜑ᜔ᜈ᜔ᜆᜌ᜔
ᜀᜉ᜔   ᜇ᜔ᜐ᜕ᜎ᜔ᜆ","Todo ang kaba ko habang hinihintay ang resulta."
"sentence_10.png","ᜂᜋ᜔ᜈ᜕ᜋ᜔   ᜐ᜔ᜌ   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜉ᜔   ᜆ᜕ᜊ᜔ᜄ᜔
ᜉᜄ᜔ᜃᜆᜉ᜕ᜐ᜔   ᜆ᜕ᜋᜃ᜔ᜊ᜕","Uminom siya nang todo ng tubig pagkatapos tumakbo."
"sentence_11.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜐ᜕ᜉ᜕ᜇ᜔ᜆ
ᜉ᜔   ᜊᜇ᜔ᜃᜇ   ᜐ
ᜈ᜔ᜄ᜕ᜐ᜔ᜌ᜕   ᜈ᜔ᜌ","Todo ang suporta ng barkada sa negosyo niya."
"sentence_12.png","ᜈᜄ᜔ᜉ᜔ᜇᜃ᜔ᜆ᜔ᜐ᜔   ᜐ᜔ᜎ   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜊᜄ᜕   ᜀᜉ᜔
ᜃ᜕ᜋ᜔ᜉ᜔ᜆ᜔ᜐ᜔ᜌ᜕ᜈ᜔","Nagpraktis sila nang todo bago ang kompetisyon."
"sentence_13.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜁᜉᜌ᜔
ᜐ   ᜎ᜕ᜂᜊ᜔   ᜉ᜔
ᜄ᜔ᜌ᜔ᜋ᜔   ᜃᜈ᜔ᜈ","Todo ang ingay sa loob ng gym kanina."
"sentence_14.png","ᜃ᜕ᜋᜌ᜕ᜇ᜔   ᜐ᜔ᜌ   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜉᜇ   ᜐ
ᜉᜋ᜔ᜎ᜔ᜌ","Kumayod siya nang todo para sa pamilya."
"sentence_15.png","ᜆ᜕ᜇ᜕   ᜀᜉ᜔   ᜉ᜔ᜆ᜔
ᜈ᜔ᜌ   ᜈᜉ᜔   ᜋᜃ᜔ᜆ
ᜀᜉ᜔   ᜇ᜔ᜄᜎ᜕","Todo ang ngiti niya nang makita ang regalo."
"sentence_16.png","ᜈᜄ᜔ᜉ᜕ᜈ᜔   ᜀᜃ᜕   ᜈᜉ᜔
ᜆ᜕ᜇ᜕   ᜈ᜔ᜆ᜕ᜉ᜔   ᜋ᜔ᜄ
ᜈᜃᜇᜀᜉ᜔   ᜊ᜕ᜏᜈ᜔","Nag-ipon ako nang todo nitong mga nakaraang buwan."
