"filename","baybayin_text","latin_text"
"sentence_1.png","ᜋᜌ᜔   ᜊᜄ᜕ᜉ᜔   ᜉ᜕ᜐ᜕
ᜐ   ᜎ᜔ᜃ᜕ᜇ᜔   ᜉ᜔
ᜀᜋ᜔ᜉ᜔   ᜊᜑᜌ᜔","May bagong poso sa likod ng aming bahay."
"sentence_2.png","ᜋᜊ᜔ᜎ᜔ᜐ᜔   ᜀᜉ᜔   ᜆ᜔ᜊ᜕ᜃ᜔
ᜉ᜔   ᜃᜈ᜔ᜌᜉ᜔   ᜉ᜕ᜐ᜕","Mabilis ang tibok ng kanyang puso."
"sentence_3.png","ᜀᜉ᜔   ᜆ᜕ᜊ᜔ᜄ᜔   ᜋ᜕ᜎ
ᜐ   ᜉ᜕ᜐ᜕   ᜀᜌ᜔
ᜋᜎ᜔ᜈᜏ᜔","Ang tubig mula sa poso ay malinaw."
"sentence_4.png","ᜀᜉ᜔   ᜉ᜕ᜐ᜕   ᜀᜌ᜔
ᜐ᜔ᜋ᜔ᜊ᜕ᜎ᜕   ᜉ᜔   ᜉᜄ᜔ᜊ᜔ᜄ᜔","Ang puso ay simbolo ng pag-ibig."
"sentence_5.png","ᜋᜇᜋ᜔ᜉ᜔   ᜆᜂ   ᜀᜉ᜔
ᜑ᜕ᜋ᜕ᜑ᜕ᜄ᜕ᜆ᜔   ᜉ᜔   ᜆ᜕ᜊ᜔ᜄ᜔
ᜐ   ᜉ᜕ᜐ᜕","Maraming tao ang humuhugot ng tubig sa poso."
"sentence_6.png","ᜋᜌ᜔   ᜈᜆᜆᜄ᜕ᜉ᜔   ᜐᜃ᜔ᜆ᜔
ᜀᜉ᜔   ᜃᜈ᜔ᜌᜉ᜔   ᜉ᜕ᜐ᜕","May natatagong sakit ang kanyang puso."
"sentence_7.png","ᜃᜁᜎᜉᜈ᜔   ᜀᜌ᜕ᜐ᜔ᜈ᜔   ᜀᜉ᜔
ᜐ᜔ᜇᜉ᜔   ᜉ᜕ᜐ᜕   ᜐ
ᜉ᜔ᜎᜐ","Kailangan ayusin ang sirang poso sa plasa."
"sentence_8.png","ᜋᜊ᜕ᜆ᜔   ᜀᜉ᜔   ᜉ᜕ᜐ᜕
ᜉ᜔   ᜊᜆᜉ᜔   ᜁᜌ᜕ᜈ᜔","Mabuti ang puso ng batang iyon."
"sentence_9.png","ᜋᜐᜇᜉ᜔   ᜂᜋ᜔ᜈ᜕ᜋ᜔   ᜉ᜔
ᜋᜎᜋ᜔ᜄ᜔   ᜈ   ᜆ᜕ᜊ᜔ᜄ᜔
ᜋ᜕ᜎ   ᜐ   ᜉ᜕ᜐ᜕","Masarap uminom ng malamig na tubig mula sa poso."
"sentence_10.png","ᜀᜎᜊ᜔   ᜉ᜔   ᜉ᜕ᜐ᜕
ᜐ   ᜇ᜔ᜊ᜔ᜇ᜔ᜊ᜔   ᜋ᜕
ᜀᜌ᜔   ᜊ᜕ᜑᜌ᜔","Alab ng puso sa dibdib mo ay buhay."
"sentence_11.png","ᜈᜄ᜔ᜁᜉᜌ᜔   ᜀᜉ᜔   ᜎ᜕ᜋᜉ᜔
ᜉ᜕ᜐ᜕   ᜆ᜕ᜏ᜔ᜉ᜔   ᜄᜄᜋ᜔ᜆ᜔ᜈ᜔","Nag-iingay ang lumang poso tuwing gagamitin."
