"filename","baybayin_text","latin_text"
"sentence_1.png","ᜈᜃᜑ᜕ᜎ᜔   ᜐ᜔ᜌ   ᜉ᜔
ᜋᜎᜃ᜔ᜉ᜔   ᜑ᜔ᜆ᜕   ᜃᜑᜉ᜕ᜈ᜔","Nakahuli siya ng malaking hito kahapon."
"sentence_2.png","ᜋᜐᜇᜉ᜔   ᜀᜉ᜔   ᜐ᜔ᜈ᜕ᜄ᜔ᜊᜉ᜔
ᜑ᜔ᜆ᜕   ᜐ   ᜉ᜔ᜇ᜕ᜊ᜔ᜈ᜔ᜐ᜔ᜌ","Masarap ang sinugbang hito sa probinsya."
"sentence_3.png","ᜀᜉ᜔   ᜑ᜔ᜆ᜕   ᜀᜌ᜔
ᜁᜐᜉ᜔   ᜂᜇ᜔   ᜉ᜔
ᜁᜐ᜔ᜇ   ᜈ   ᜏᜎᜉ᜔
ᜃᜎ᜔ᜐ᜔ᜃ᜔ᜐ᜔","Ang hito ay isang uri ng isda na walang kaliskis."
"sentence_4.png","ᜈᜄᜎᜄ   ᜐ᜔ᜎ   ᜉ᜔
ᜑ᜔ᜆ᜕   ᜐ   ᜎ᜔ᜃ᜕ᜇ᜔ᜊᜑᜌ᜔","Nag-alaga sila ng hito sa likod-bahay."
"sentence_5.png","ᜄ᜕ᜐ᜔ᜆ᜕   ᜈ᜔   ᜎ᜕ᜎ᜕
ᜉ᜔   ᜀᜇ᜕ᜊ᜕ᜉ᜔   ᜑ᜔ᜆ᜕","Gusto ni lolo ng adobong hito."
"sentence_6.png","ᜋᜌ᜔   ᜊᜎ᜔ᜊᜐ᜔   ᜀᜉ᜔
ᜑ᜔ᜆ᜕   ᜈ   ᜉᜇᜉ᜔
ᜉ᜕ᜐ","May balbas ang hito na parang pusa."
"sentence_7.png","ᜀᜉ᜔   ᜉ᜕ᜆ᜔ᜃᜈ᜔   ᜀᜉ᜔
ᜈᜆ᜕ᜇᜎ᜔   ᜈ   ᜆ᜔ᜇᜑᜈ᜔
ᜉ᜔   ᜑ᜔ᜆ᜕","Ang putikan ang natural na tirahan ng hito."
"sentence_8.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜃᜋ᜔   ᜉ᜔
ᜐᜇ᜔ᜏᜉ᜔   ᜑ᜔ᜆ᜕   ᜐ
ᜉᜎ᜔ᜉ᜔ᜃ᜔","Bumili kami ng sariwang hito sa palengke."
"sentence_9.png","ᜋᜑᜎ᜔   ᜀᜉ᜔   ᜉ᜔ᜇ᜔ᜐ᜔ᜌ᜕
ᜉ᜔   ᜑ᜔ᜆ᜕   ᜉᜌ᜕ᜈ᜔","Mahal ang presyo ng hito ngayon."
"sentence_10.png","ᜋᜑ᜔ᜇᜉ᜔   ᜑ᜕ᜎ᜔ᜑ᜔ᜈ᜔   ᜀᜉ᜔
ᜑ᜔ᜆ᜕   ᜃᜉᜄ᜔   ᜄᜊ᜔","Mahirap hulihin ang hito kapag gabi."
"sentence_11.png","ᜈ᜔ᜎ᜕ᜆ᜕   ᜈ᜔   ᜈᜈᜌ᜔
ᜀᜉ᜔   ᜑ᜔ᜆ᜕   ᜈ
ᜋᜌ᜔   ᜄᜆ","Niluto ni nanay ang hito na may gata."
"sentence_12.png","ᜇ᜔ᜎ᜔ᜃᜇ᜕   ᜀᜉ᜔   ᜆ᜔ᜈ᜔ᜃ᜔
ᜉ᜔   ᜑ᜔ᜆ᜕","Delikado ang tinik ng hito."
"sentence_13.png","ᜈᜄ᜔ᜉᜉᜇᜋ᜔   ᜐ᜔ᜎ   ᜉ᜔
ᜑ᜔ᜆ᜕   ᜐ   ᜇᜎᜋ᜔ᜉᜐ᜔ᜄᜈ᜔","Nagpaparami sila ng hito sa dalampasigan."
"sentence_14.png","ᜀᜉ᜔   ᜃᜇ᜔ᜈ᜔   ᜉ᜔
ᜑ᜔ᜆ᜕   ᜀᜌ᜔   ᜋᜎᜋ᜔ᜊ᜕ᜆ᜔
ᜀᜆ᜔   ᜋᜐᜇᜉ᜔","Ang karne ng hito ay malambot at masarap."
"sentence_15.png","ᜄ᜕ᜋᜋ᜔ᜆ᜔   ᜐ᜔ᜎ   ᜉ᜔
ᜎᜋ᜔ᜊᜆ᜔   ᜂᜉᜉ᜔   ᜋᜉ᜔ᜑ᜕ᜎ᜔
ᜉ᜔   ᜑ᜔ᜆ᜕","Gumamit sila ng lambat upang manghuli ng hito."
"sentence_16.png","ᜉᜊ᜕ᜇ᜔ᜆ᜕   ᜈ᜔ᜌᜉ᜔   ᜃᜁᜈ᜔ᜈ᜔
ᜀᜉ᜔   ᜉ᜔ᜇ᜔ᜆ᜕ᜉ᜔   ᜑ᜔ᜆ᜕","Paborito niyang kainin ang pritong hito."
"sentence_17.png","ᜋᜌ᜔   ᜑ᜔ᜆ᜕   ᜊ
ᜃᜌ᜕   ᜇ᜔ᜌᜈ᜔   ᜐ
ᜁᜎ᜕ᜄ᜔","May hito ba kayo diyan sa ilog?"
"sentence_18.png","ᜀᜉ᜔   ᜑ᜔ᜆ᜕   ᜀᜌ᜔
ᜈᜊ᜕ᜊ᜕ᜑᜌ᜔   ᜐ   ᜐᜇ᜔ᜏᜉ᜔
ᜆ᜕ᜊ᜔ᜄ᜔","Ang hito ay nabubuhay sa sariwang tubig."
"sentence_19.png","ᜉ᜔ᜈᜃᜋᜊ᜔ᜎ᜔ᜉ᜔   ᜁᜐ᜔ᜇ   ᜀᜉ᜔
ᜑ᜔ᜆ᜕   ᜐ   ᜀᜋ᜔ᜉ᜔
ᜊᜌᜈ᜔","Pinakamabiling isda ang hito sa aming bayan."
"sentence_20.png","ᜑ᜔ᜈᜑᜊ᜕ᜎ᜔   ᜉ᜔   ᜋ᜔ᜄ
ᜊᜆ   ᜀᜉ᜔   ᜎ᜕ᜋᜎᜉ᜕ᜌ᜔
ᜈ   ᜑ᜔ᜆ᜕","Hinahabol ng mga bata ang lumalangoy na hito."
"sentence_21.png","ᜀᜉ᜔   ᜑ᜔ᜆ᜕   ᜀᜌ᜔
ᜋᜌ᜔   ᜋᜇ᜕ᜎᜐ᜔   ᜈ
ᜊᜎᜆ᜔","Ang hito ay may madulas na balat."
"sentence_22.png","ᜈᜄ᜔ᜎ᜕ᜎ᜕ᜆ᜕   ᜀᜃ᜕   ᜉ᜔
ᜉ᜔ᜈᜉᜆ᜔   ᜈ   ᜑ᜔ᜆ᜕","Nagluluto ako ng pinangat na hito."
"sentence_23.png","ᜈᜄ᜔ᜆᜈ᜔ᜋ᜔   ᜃᜋ᜔   ᜉ᜔
ᜃᜉ᜔ᜃ᜕ᜉ᜔   ᜉᜇ   ᜐ
ᜑ᜔ᜆ᜕","Nagtanim kami ng kangkong para sa hito."
"sentence_24.png","ᜀᜉ᜔   ᜁᜎᜎ᜔ᜋ᜔   ᜉ᜔
ᜆ᜕ᜎᜌ᜔   ᜀᜌ᜔   ᜋᜇᜎᜐ᜔
ᜆᜄ᜕ᜀᜈ᜔   ᜉ᜔   ᜑ᜔ᜆ᜕","Ang ilalim ng tulay ay madalas taguan ng hito."
"sentence_25.png","ᜈᜃᜄᜆ᜔   ᜀᜃ᜕   ᜉ᜔
ᜑ᜔ᜆ᜕   ᜑᜊᜉ᜔   ᜈᜉ᜔ᜑ᜕ᜑ᜕ᜎ᜔","Nakagat ako ng hito habang nanghuhuli."
"sentence_26.png","ᜑ᜔ᜆ᜕   ᜈ   ᜀᜉ᜔
ᜑ᜔ᜈ᜔ᜑ᜔ᜈ᜔ᜆᜌ᜔   ᜋ᜕ᜉ᜔   ᜆᜄ᜕ᜋ᜔ᜉᜌ᜔","Heto na ang hinihintay mong tagumpay."
"sentence_27.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜐ᜕ᜐ᜔
ᜁᜉᜆᜈ᜔   ᜋ᜕   ᜀᜆ᜔
ᜊᜃ   ᜋᜏᜎ","Heto ang susi, ingatan mo at baka mawala."
"sentence_28.png","ᜑ᜔ᜆ᜕   ᜈ   ᜀᜉ᜔
ᜉ᜔ᜇ   ᜉᜋ᜔ᜊᜌᜇ᜔   ᜐ
ᜂᜉ","Heto na ang pera, pambayad sa upa."
"sentence_29.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜃᜉ᜔
ᜋ᜕   ᜑ᜔ᜉᜈ᜔   ᜋ᜕
ᜀᜆ᜔   ᜊᜃ   ᜁᜃᜏ᜔
ᜀᜌ᜔   ᜋᜉᜐ᜕","Heto ang kape mo, hipan mo at baka ikaw ay mapaso."
"sentence_30.png","ᜑ᜔ᜆ᜕   ᜈ   ᜃᜋ᜔
ᜑᜈ᜔ᜇ   ᜈ   ᜉᜇ
ᜂᜋᜎ᜔ᜐ᜔","Heto na kami, handa na para umalis."
"sentence_31.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜎ᜔ᜊ᜔ᜇ᜕
ᜉᜃ᜔ᜊᜎ᜔ᜃ᜔   ᜐ   ᜎ᜔ᜊ᜔ᜇᜇ᜔ᜌ᜔","Heto ang libro, pakibalik sa library."
"sentence_32.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜇ᜔ᜐ᜔ᜊ᜕
ᜉ᜔   ᜊ᜔ᜈ᜔ᜎ᜔   ᜋ᜕","Heto ang resibo ng binili mo."
"sentence_33.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜉᜄ᜔ᜃᜁᜈ᜔
ᜃ᜕ᜋᜁᜈ᜔   ᜈ   ᜆᜌ᜕","Heto ang pagkain, kumain na tayo."
"sentence_34.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜉ᜔ᜈᜃᜋᜄᜈ᜔ᜇᜉ᜔
ᜆᜈᜏ᜔ᜈ᜔   ᜐ   ᜁᜐ᜔ᜎ","Heto ang pinakamagandang tanawin sa isla."
"sentence_35.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜐ᜕ᜎ᜕ᜐ᜔ᜌ᜕ᜈ᜔
ᜐ   ᜉ᜔ᜇ᜕ᜊ᜔ᜎ᜔ᜋ   ᜈᜆ᜔ᜈ᜔","Heto ang solusyon sa problema natin."
"sentence_36.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜊᜄ᜕ᜉ᜔
ᜇᜋ᜔ᜆ᜔   ᜋ᜕","Heto ang bagong damit mo."
"sentence_37.png","ᜑ᜔ᜆ᜕   ᜈ   ᜐ
ᜏᜃᜐ᜔   ᜀᜌ᜔   ᜇ᜕ᜋᜆ᜔ᜉ᜔
ᜃ   ᜇ᜔ᜈ᜔","Heto na, sa wakas ay dumating ka rin."
"sentence_38.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜁᜊ᜔ᜇ᜔ᜈ᜔ᜐ᜔ᜌ
ᜑ᜔ᜈ᜔ᜇ᜔   ᜀᜃ᜕   ᜈᜄ᜔ᜐ᜔ᜐ᜔ᜈ᜕ᜉᜎ᜔ᜉ᜔","Heto ang ebidensya, hindi ako nagsisinungaling."
"sentence_39.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜀᜃ᜔ᜉ᜔
ᜃᜉᜆ᜔ᜇ᜔   ᜐ᜔   ᜎ᜔ᜂ","Heto ang aking kapatid, si Leo."
"sentence_40.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜀᜇ᜔ᜇ᜔ᜇ᜔ᜐ᜔ᜐ᜔
ᜉᜃ᜔ᜐ᜕ᜎᜆ᜔","Heto ang address, pakisulat."
"sentence_41.png","ᜑ᜔ᜆ᜕   ᜈ   ᜋᜎᜉ᜔ᜆ᜔
ᜈ   ᜆᜌ᜕   ᜐ
ᜇ᜔ᜐ᜔ᜆ᜔ᜈᜐ᜔ᜌ᜕ᜈ᜔","Heto na, malapit na tayo sa destinasyon."
"sentence_42.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜀᜃ᜔ᜉ᜔
ᜄᜏ   ᜐᜈ   ᜋᜄ᜕ᜐ᜔ᜆ᜕ᜑᜈ᜔
ᜋ᜕","Heto ang aking gawa, sana magustuhan mo."
"sentence_43.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜆᜋᜉ᜔
ᜉᜇᜀᜈ᜔   ᜉ᜔   ᜉᜄ᜔ᜎ᜕ᜎ᜕ᜆ᜕","Heto ang tamang paraan ng pagluluto."
"sentence_44.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜇ᜔ᜐ᜕ᜎ᜔ᜆ
ᜉ᜔   ᜉᜄ᜔ᜐ᜕ᜐ᜕ᜎ᜔ᜆ᜔","Heto ang resulta ng pagsusulit."
"sentence_45.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜉᜊ᜕ᜇ᜔ᜆ᜕
ᜃ᜕ᜉ᜔   ᜀᜏ᜔ᜆ᜔ᜈ᜔","Heto ang paborito kong awitin."
"sentence_46.png","ᜑ᜔ᜆ᜕   ᜀᜉ᜔   ᜎ᜔ᜐ᜔ᜆᜑᜈ᜔
ᜉ᜔   ᜋ᜔ᜄ   ᜃᜁᜎᜉᜈ᜔
ᜈᜆ᜔ᜈ᜔","Heto ang listahan ng mga kailangan natin."
