"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜎ᜕ᜋᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜀᜌ᜔   ᜆ᜕ᜋ᜕ᜆ᜕ᜇ᜕   ᜉ
ᜇ᜔ᜈ᜔   ᜐ   ᜑ᜔ᜎᜄ","Ang lumang kompas ay tumuturo pa rin sa hilaga."
"sentence_2.png","ᜁᜋ᜔ᜉ᜕ᜇ᜔ᜆᜈ᜔ᜆ᜔   ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜐ   ᜉᜄ᜔ᜑᜑᜈᜉ᜔   ᜉ᜔
ᜆᜋᜉ᜔   ᜇ᜔ᜇ᜔ᜃ᜔ᜐ᜔ᜌ᜕ᜈ᜔   ᜐ
ᜃᜄ᜕ᜊᜆᜈ᜔","Importante ang kompas sa paghahanap ng tamang direksyon sa kagubatan."
"sentence_3.png","ᜄ᜔ᜈᜄᜋ᜔ᜆ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜉᜇ   ᜋᜆ᜕ᜃ᜕ᜌ᜔
ᜀᜉ᜔   ᜇᜀᜈ᜔   ᜉᜂᜏ᜔","Ginagamit niya ang kompas para matukoy ang daan pauwi."
"sentence_4.png","ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜉ᜔
ᜊᜇ᜔ᜃ᜕   ᜀᜌ᜔   ᜑ᜔ᜈ᜔ᜇ᜔
ᜄ᜕ᜋᜄᜈ   ᜈᜉ᜔   ᜋᜀᜌ᜕ᜐ᜔","Ang kompas ng barko ay hindi gumagana nang maayos."
"sentence_5.png","ᜋᜌ᜔   ᜋᜎ᜔ᜁᜆ᜔   ᜈ
ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜀᜃ᜕   ᜐ
ᜀᜃ᜔ᜉ᜔   ᜃ᜔ᜌ᜔ᜑᜁᜈ᜔","May maliit na kompas ako sa aking keychain."
"sentence_6.png","ᜆ᜔ᜉ᜔ᜈᜈ᜔   ᜋ᜕   ᜀᜉ᜔
ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜉᜇ   ᜋᜃ᜔ᜆ
ᜃ᜕ᜉ᜔   ᜐᜀᜈ᜔   ᜀᜉ᜔
ᜐ᜔ᜎᜉᜈ᜔","Tingnan mo ang kompas para makita kung saan ang silangan."
"sentence_7.png","ᜐ᜔ᜇ   ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜃᜌ   ᜈᜎ᜔ᜄᜏ᜔   ᜃᜋ᜔","Sira ang kompas kaya naligaw kami."
"sentence_8.png","ᜁᜆ᜕   ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜈ   ᜄ᜔ᜈᜋ᜔ᜆ᜔   ᜉ᜔
ᜀᜃ᜔ᜉ᜔   ᜎ᜕ᜎ᜕   ᜐ
ᜄ᜔ᜌ᜔ᜇ","Ito ang kompas na ginamit ng aking lolo sa giyera."
"sentence_9.png","ᜏᜎᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜀᜉ᜔
ᜆ᜔ᜎ᜔ᜉ᜕ᜈ᜕   ᜃᜌ   ᜈᜑ᜔ᜑ᜔ᜇᜉᜈ᜔
ᜃᜋ᜔","Walang kompas ang telepono kaya nahihirapan kami."
"sentence_10.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜐ᜔ᜌ   ᜉ᜔
ᜊᜄ᜕ᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜊᜄ᜕
ᜋᜄ᜔ᜑ᜔ᜃ᜔ᜉ᜔","Bumili siya ng bagong kompas bago mag-hiking."
"sentence_11.png","ᜃᜁᜎᜉᜈ᜔   ᜈᜆ᜔ᜈ᜔   ᜉ᜔
ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜉᜇ   ᜐ
ᜀᜆ᜔ᜉ᜔   ᜁᜃ᜔ᜐ᜔ᜉ᜔ᜇ᜔ᜐ᜔ᜌ᜕ᜈ᜔","Kailangan natin ng kompas para sa ating ekspedisyon."
"sentence_12.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜂᜋ᜔ᜃ᜕ᜆ᜔   ᜀᜉ᜔
ᜃᜇᜌ᜕ᜋ᜔   ᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔","Hindi umikot ang karayom ng kompas."
"sentence_13.png","ᜑᜈᜉ᜔ᜈ᜔   ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜐ   ᜎ᜕ᜂᜊ᜔   ᜉ᜔
ᜊᜄ᜔","Hanapin ang kompas sa loob ng bag."
"sentence_14.png","ᜀᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔   ᜀᜌ᜔
ᜋᜑᜎᜄ   ᜐ   ᜉᜄ᜔ᜎᜎᜌᜄ᜔","Ang kompas ay mahalaga sa paglalayag."
"sentence_15.png","ᜆ᜔ᜈ᜕ᜇ᜕   ᜉ᜔   ᜃ᜕ᜋ᜔ᜉᜐ᜔
ᜀᜉ᜔   ᜇ᜔ᜇ᜔ᜃ᜔ᜐ᜔ᜌ᜕ᜈ᜔   ᜉ᜔
ᜊ᜕ᜈ᜔ᜇ᜕ᜃ᜔","Tinuro ng kompas ang direksyon ng bundok."
