"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜈ᜔ᜄ᜕ᜐ᜔ᜌᜈ᜔ᜆ᜔   ᜀᜌ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜉ᜔   ᜋᜎᜃ᜔ᜉ᜔
ᜑᜎᜄ   ᜐ   ᜊ᜔ᜈ᜔ᜆᜑᜈ᜔
ᜉ᜔   ᜎ᜕ᜉ","Ang negosyante ay kumita ng malaking halaga sa bentahan ng lupa."
"sentence_2.png","ᜋᜇᜋ᜔ᜉ᜔   ᜆᜂ   ᜀᜉ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜈᜉ᜔   ᜑ᜕ᜐ᜔ᜆ᜕
ᜐ   ᜉᜄ᜔ᜎᜎᜇ᜕   ᜉ᜔
ᜂᜈ᜔ᜎ᜔ᜈ᜔   ᜄᜋ᜔ᜐ᜔","Maraming tao ang kumita nang husto sa paglalaro ng online games."
"sentence_3.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜈ᜔ᜌ   ᜁᜈᜐᜑᜉ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜉ᜔   ᜄᜈ᜔ᜆ᜕
ᜃᜎᜃ᜔   ᜐ   ᜁᜐᜉ᜔
ᜄᜊ᜔","Hindi niya inasahang kumita ng ganito kalaki sa isang gabi."
"sentence_4.png","ᜄ᜕ᜐ᜔ᜆ᜕   ᜈ᜔ᜌᜉ᜔   ᜃ᜕ᜋ᜔ᜆ
ᜉ᜔   ᜋᜎᜃ᜔   ᜉᜇ
ᜋᜃᜉᜄ᜔ᜉᜆᜌ᜕   ᜉ᜔   ᜐᜇ᜔ᜎ᜔ᜉ᜔
ᜊᜑᜌ᜔","Gusto niyang kumita ng malaki para makapagpatayo ng sariling bahay."
"sentence_5.png","ᜋᜐᜌ   ᜐ᜔ᜌ   ᜈᜉ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜀᜉ᜔   ᜃᜈ᜔ᜌᜉ᜔
ᜋᜎ᜔ᜁᜆ᜔   ᜈ   ᜈ᜔ᜄ᜕ᜐ᜔ᜌ᜕
ᜉ᜔   ᜃᜉ᜔ᜑᜈ᜔","Masaya siya nang kumita ang kanyang maliit na negosyo ng kapehan."
"sentence_6.png","ᜇᜉᜆ᜔   ᜆᜌ᜕ᜉ᜔   ᜋᜄ᜔ᜐ᜔ᜃᜉ᜔
ᜉᜇ   ᜃ᜕ᜋ᜔ᜆ   ᜉ᜔
ᜋᜇᜉᜎ᜔   ᜈ   ᜉ᜔ᜇ","Dapat tayong magsikap para kumita ng marangal na pera."
"sentence_7.png","ᜐ   ᜏᜃᜐ᜔   ᜀᜌ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜈ   ᜇ᜔ᜈ᜔
ᜀᜉ᜔   ᜃᜈ᜔ᜌᜉ᜔   ᜉᜋ᜕ᜋ᜕ᜑ᜕ᜈᜈ᜔
ᜐ   ᜉᜎ᜔ᜉ᜔ᜃ᜔","Sa wakas ay kumita na rin ang kanyang pamumuhunan sa palengke."
"sentence_8.png","ᜀᜉ᜔   ᜉ᜔ᜇ᜕ᜌ᜔ᜃ᜔ᜆ᜕   ᜀᜌ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜉ᜔   ᜐᜉᜆ᜔
ᜉᜇ   ᜋᜊᜌᜇᜈ᜔   ᜀᜉ᜔
ᜎᜑᜆ᜔   ᜉ᜔   ᜄᜐ᜔ᜆ᜕ᜐ᜔ᜈ᜔","Ang proyekto ay kumita ng sapat para mabayaran ang lahat ng gastusin.."
"sentence_9.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜃ᜕ᜋ᜔ᜆ   ᜀᜉ᜔
ᜃᜈ᜔ᜎᜉ᜔   ᜈ᜔ᜄ᜕ᜐ᜔ᜌ᜕   ᜇᜑ᜔ᜎ᜔
ᜐ   ᜃ᜔ᜇ᜔ᜐ᜔ᜐ᜔   ᜉᜉ᜔ᜃ᜕ᜈ᜕ᜋ᜔ᜌ","Hindi kumita ang kanilang negosyo dahil sa krisis pang-ekonomiya."
"sentence_10.png","ᜐᜊ᜔   ᜈ᜔ᜌ   ᜀᜌ᜔
ᜃ᜕ᜋ᜔ᜆ   ᜐ᜔ᜌ   ᜉ᜔
ᜇ᜕ᜊ᜔ᜎ᜔   ᜐ   ᜈᜃᜇᜀᜉ᜔
ᜊ᜕ᜏᜈ᜔","Sabi niya ay kumita siya ng doble sa nakaraang buwan."
