"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜆ᜕ᜎᜌ᜔   ᜀᜌ᜔
ᜄᜏ   ᜐ   ᜋᜆ᜔ᜊᜌ᜔
ᜈ   ᜀᜐ᜔ᜇ᜕","Ang tulay ay gawa sa matibay na asero."
"sentence_2.png","ᜀᜉ᜔   ᜀᜐ᜔ᜇ᜕   ᜀᜌ᜔
ᜈᜃᜃᜉᜐ᜕   ᜐ   ᜊᜎᜆ᜔","Ang asido ay nakakapaso sa balat."
"sentence_3.png","ᜄ᜕ᜐ᜔ᜆ᜕   ᜃ᜕   ᜉ᜔
ᜃ᜕ᜆ᜔ᜐ᜔ᜎ᜔ᜌ᜕ᜉ᜔   ᜄᜏ   ᜐ
ᜑ᜔ᜈ᜔ᜇ᜔   ᜃ᜔ᜈᜃᜎᜏᜉ᜔   ᜈ
ᜀᜐ᜔ᜇ᜕","Gusto ko ng kutsilyong gawa sa hindi kinakalawang na asero."
"sentence_4.png","ᜃᜁᜎᜉᜈ᜔   ᜉ᜔   ᜉ᜔ᜇ᜕ᜆ᜔ᜃ᜔ᜐ᜔ᜌ᜕ᜈ᜔
ᜃᜉᜄ᜔   ᜑ᜕ᜋᜑᜏᜃ᜔   ᜉ᜔
ᜋᜎᜃᜐ᜔   ᜈ   ᜃ᜕ᜈ᜔ᜐ᜔ᜈ᜔ᜆ᜔ᜇᜐ᜔ᜌ᜕ᜈ᜔
ᜉ᜔   ᜀᜐ᜔ᜇ᜕","Kailangan ng proteksiyon kapag humahawak ng malakas na konsentrasyon ng asido."
"sentence_5.png","ᜄᜏ   ᜐ   ᜀᜐ᜔ᜇ᜕
ᜀᜉ᜔   ᜊᜎᜉ᜔ᜃᜐ᜔   ᜉ᜔
ᜄ᜕ᜐᜎ᜔ᜉ᜔   ᜁᜌ᜕ᜈ᜔","Gawa sa asero ang balangkas ng gusaling iyon."
"sentence_6.png","ᜀᜉ᜔   ᜎ᜔ᜋ᜕ᜈ᜔   ᜀᜌ᜔
ᜋᜌᜋᜈ᜔   ᜐ   ᜐ᜔ᜆ᜔ᜇ᜔ᜃ᜕
ᜀᜐ᜔ᜇ᜕","Ang lemon ay mayaman sa sitriko asido."
"sentence_7.png","ᜀᜉ᜔   ᜋ᜔ᜄ   ᜇ᜔ᜑᜐ᜔
ᜉ᜔   ᜊ᜔ᜈ᜔ᜆᜈ   ᜀᜌ᜔
ᜄᜏ   ᜐ   ᜋᜆ᜔ᜊᜌ᜔
ᜈ   ᜀᜐ᜔ᜇ᜕","Ang mga rehas ng bintana ay gawa sa matibay na asero."
"sentence_8.png","ᜀᜉ᜔   ᜋ᜔ᜄ   ᜊᜆ᜔ᜇ᜔ᜌ
ᜉ᜔   ᜃ᜕ᜆ᜔ᜐ᜔   ᜀᜌ᜔
ᜋᜌ᜔   ᜀᜐ᜔ᜇ᜕","Ang mga baterya ng kotse ay may asido."
"sentence_9.png","ᜋᜆ᜔ᜊᜌ᜔   ᜀᜉ᜔   ᜀᜐ᜔ᜇ᜕
ᜃᜌ   ᜁᜆ᜕   ᜀᜉ᜔
ᜄ᜔ᜈᜋ᜔ᜆ᜔   ᜐ   ᜆ᜕ᜎᜌ᜔","Matibay ang asero kaya ito ang ginamit sa tulay."
"sentence_10.png","ᜀᜉ᜔   ᜊ᜔ᜃ᜔ᜆ᜔ᜋ   ᜀᜌ᜔
ᜊ᜔ᜈ᜕ᜑ᜕ᜐᜈ᜔   ᜉ᜔   ᜀᜐ᜔ᜇ᜕
ᜐ   ᜋ᜕ᜃ᜔ᜑ","Ang biktima ay binuhusan ng asido sa mukha."
