"filename","baybayin_text","latin_text"
"sentence_1.png","ᜈᜃᜐ᜕ᜂᜆ᜔   ᜐ᜔ᜌ   ᜉ᜔
ᜉ᜕ᜆ᜔ᜉ᜔   ᜉ᜕ᜎ᜕   ᜐ
ᜄ᜔ᜇᜇ᜕ᜀᜆ᜔ᜂᜈ᜔","Nakasuot siya ng puting polo sa graduation."
"sentence_2.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜀᜃ᜕   ᜉ᜔
ᜊᜄ᜕ᜉ᜔   ᜉ᜕ᜎ᜕   ᜉᜇ
ᜐ   ᜁᜈ᜔ᜆ᜔ᜇ᜔ᜁᜁᜏ᜔   ᜃ᜕","Bumili ako ng bagong polo para sa interview ko."
"sentence_3.png","ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜋ᜕
ᜀᜌ᜔   ᜊᜄᜌ᜔   ᜐᜌ᜕","Ang polo mo ay bagay sa’yo."
"sentence_4.png","ᜈᜎ᜔ᜋ᜕ᜆᜈ᜔   ᜃ᜕ᜉ᜔   ᜉ᜔ᜎᜈ᜔ᜆ᜔ᜐᜑ᜔ᜈ᜔
ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜃ᜕","Nalimutan kong plantsahin ang polo ko."
"sentence_5.png","ᜐ᜕ᜂᜆ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜉᜊ᜕ᜇ᜔ᜆ᜕   ᜈ᜔ᜌᜉ᜔   ᜉ᜕ᜎ᜕
ᜃᜑᜉ᜕ᜈ᜔","Suot niya ang paborito niyang polo kahapon."
"sentence_6.png","ᜋ᜔ᜇ᜔ᜌ᜕   ᜋᜐ᜔ᜃ᜔ᜉ᜔   ᜈ
ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜈ
ᜁᜆ᜕   ᜐ   ᜀᜃ᜔ᜈ᜔","Medyo masikip na ang polo na ito sa akin."
"sentence_7.png","ᜑ᜔ᜈ᜔ᜇᜋ᜔   ᜃ᜕   ᜀᜉ᜔
ᜉ᜕ᜎ᜕   ᜉ᜔   ᜃ᜕ᜌ
ᜃ᜕","Hiniram ko ang polo ng kuya ko."
"sentence_8.png","ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜈ
ᜊ᜔ᜈ᜔ᜎ᜔   ᜃ᜕   ᜀᜌ᜔
ᜃ᜕ᜎᜌ᜔   ᜀᜐ᜕ᜎ᜔","Ang polo na binili ko ay kulay asul."
"sentence_9.png","ᜃᜁᜎᜉᜈ᜔   ᜃ᜕ᜉ᜔   ᜋᜄ᜔ᜎᜊ
ᜉ᜔   ᜋ᜔ᜄ   ᜉ᜕ᜎ᜕
ᜃ᜕","Kailangan kong maglaba ng mga polo ko."
"sentence_10.png","ᜀᜉ᜔   ᜎ᜔ᜈ᜔ᜐ᜔   ᜆ᜔ᜉ᜔ᜈᜈ᜔
ᜉᜄ᜔   ᜈᜃ   ᜉ᜕ᜎ᜕","Ang linis tingnan pag naka polo."
"sentence_11.png","ᜐᜀᜈ᜔   ᜋ᜕   ᜈᜊ᜔ᜎ᜔
ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜋ᜕","Saan mo nabili ang polo mo?"
"sentence_12.png","ᜇ᜔ᜄᜎ᜕   ᜐ   ᜀᜃ᜔ᜈ᜔
ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜈ
ᜁᜆ᜕","Regalo sa akin ang polo na ito."
"sentence_13.png","ᜋᜇᜎᜐ᜔   ᜐ᜔ᜌᜉ᜔   ᜈᜃ
ᜉ᜕ᜎ᜕   ᜃᜉᜄ᜔   ᜋᜌ᜔
ᜋ᜔ᜁᜆ᜔ᜉ᜔","Madalas siyang naka polo kapag may meeting."
"sentence_14.png","ᜈᜆᜉ᜕ᜈᜈ᜔   ᜉ᜔   ᜃᜉ᜔
ᜀᜉ᜔   ᜉ᜕ᜎ᜕   ᜃ᜕","Natapunan ng kape ang polo ko."
"sentence_15.png","ᜉᜃ᜔ᜀᜊ᜕ᜆ᜔   ᜉ   ᜀᜉ᜔
ᜉ᜕ᜎ᜕   ᜃ᜕   ᜐ
ᜀᜉᜇᜇ᜕ᜇ᜔","Pakiabot nga ang polo ko sa aparador."
"sentence_16.png","ᜀᜉ᜔   ᜋᜑᜎ᜔   ᜉ᜔
ᜉ᜕ᜎ᜕   ᜐ   ᜋᜎ᜔ᜎ᜔","Ang mahal ng polo sa mall."
"sentence_17.png","ᜋᜐ᜔   ᜄ᜕ᜐ᜔ᜆ᜕   ᜃ᜕
ᜀᜉ᜔   ᜂᜆ᜔ᜆ᜕ᜈ᜔   ᜈ
ᜉ᜕ᜎ᜕","Mas gusto ko ang cotton na polo."
"sentence_18.png","ᜊᜄᜌ᜔   ᜀᜉ᜔   ᜁᜆ᜔ᜋ᜔
ᜈ   ᜉ᜕ᜎ᜕   ᜐ
ᜃᜈ᜔ᜌ","Bagay ang itim na polo sa kanya."
