"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜉ᜔   ᜊᜏᜆ᜔   ᜊ᜕ᜆ᜕
ᜀᜌ᜔   ᜋᜑᜎᜄ   ᜐ
ᜉᜄ᜔ᜉ᜔ᜎ᜔   ᜉ᜔   ᜆᜋᜉ᜔
ᜎ᜔ᜇ᜔ᜇ᜔","Ang bawat boto ay mahalaga sa pagpili ng tamang lider."
"sentence_2.png","ᜊ᜔ᜎᜉ᜔   ᜎᜉ᜔   ᜀᜉ᜔
ᜊ᜕ᜆ᜕   ᜈ   ᜈᜃ᜕ᜑ
ᜉ᜔   ᜃᜈ᜔ᜇ᜔ᜇᜆ᜕   ᜐ
ᜑ᜕ᜎ᜔ᜉ᜔   ᜊ᜔ᜎᜉᜈ᜔","Bilang lang ang boto na nakuha ng kandidato sa huling bilangan."
"sentence_3.png","ᜀᜉ᜔   ᜊ᜕ᜆ᜕   ᜉ᜔
ᜋᜐ   ᜀᜉ᜔   ᜋᜄ᜔ᜉᜉᜐ᜔ᜌ
ᜐ   ᜋᜄ᜔ᜄ᜔ᜉ᜔   ᜇ᜔ᜐ᜕ᜎ᜔ᜆ
ᜉ᜔   ᜑᜎᜎᜈ᜔","Ang boto ng masa ang magpapasya sa magiging resulta ng halalan."
"sentence_4.png","ᜃ᜔ᜈ᜔ᜃ᜔ᜎᜎ   ᜉ᜔   ᜊᜆᜐ᜔
ᜀᜉ᜔   ᜐ᜔ᜃ᜔ᜇ᜔ᜆ᜕   ᜉ᜔
ᜊᜏᜆ᜔   ᜊ᜕ᜆ᜕   ᜉ᜔
ᜋᜋᜋᜌᜈ᜔","Kinikilala ng batas ang sikreto ng bawat boto ng mamamayan."
"sentence_5.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜉ   ᜈᜆᜆᜉ᜕ᜐ᜔
ᜀᜉ᜔   ᜊ᜔ᜎᜉᜈ᜔   ᜉ᜔
ᜊ᜕ᜆ᜕   ᜐ   ᜁᜎᜉ᜔
ᜎ᜕ᜄᜇ᜔","Hindi pa natatapos ang bilangan ng boto sa ilang lugar."
"sentence_6.png","ᜀᜉ᜔   ᜇ᜔ᜐ᜔ᜐ᜔ᜌ᜕ᜈ᜔   ᜉ᜔
ᜃ᜕ᜋ᜔ᜆ᜔   ᜀᜌ᜔   ᜃᜁᜎᜉᜈ᜔
ᜉ᜔   ᜋᜌ᜕ᜇ᜔ᜌᜉ᜔   ᜊ᜕ᜆ᜕
ᜉᜇ   ᜋᜁᜉᜐ","Ang desisyon ng komite ay kailangan ng mayoryang boto para maipasa."
"sentence_7.png","ᜀᜈ᜕ᜉ᜔   ᜊ᜕ᜆ᜕   ᜀᜉ᜔
ᜁᜊ᜔ᜊ᜔ᜄᜌ᜔   ᜋ᜕   ᜐ
ᜉᜈ᜕ᜃᜎᜉ᜔   ᜊᜆᜐ᜔   ᜈ
ᜁᜆ᜕","Anong boto ang ibibigay mo sa panukalang batas na ito?"
"sentence_8.png","ᜈᜄ᜔ᜃᜇ᜕ᜂᜈ᜔   ᜉ᜔   ᜋᜄ᜔ᜃᜆ᜕ᜎᜇ᜔
ᜈ   ᜊ᜕ᜆ᜕   ᜀᜉ᜔
ᜇᜎᜏᜉ᜔   ᜃᜈ᜔ᜇ᜔ᜇᜆ᜕","Nagkaroon ng magkatulad na boto ang dalawang kandidato."
"sentence_9.png","ᜁᜇ᜔ᜐ᜔ᜉ᜔ᜆ᜕   ᜈᜆ᜔ᜈ᜔   ᜀᜉ᜔
ᜊ᜕ᜆ᜕   ᜉ᜔   ᜊᜏᜆ᜔
ᜁᜐ   ᜃᜑ᜔ᜆ᜔   ᜋᜄ᜔ᜃᜁᜊ","Irespeto natin ang boto ng bawat isa kahit magkaiba."
"sentence_10.png","ᜀᜉ᜔   ᜉᜄ᜔ᜉᜉᜎ᜔ᜆ᜔   ᜉ᜔
ᜊ᜕ᜆ᜕   ᜀᜌ᜔   ᜋᜑ᜔ᜄ᜔ᜉ᜔ᜆ᜔
ᜈ   ᜁᜉ᜔ᜈᜄ᜔ᜊᜊᜏᜎ᜔","Ang pagpapalit ng boto ay mahigpit na ipinagbabawal."
"sentence_11.png","ᜋᜐ᜔   ᜋᜇᜋ᜔ᜉ᜔   ᜊ᜕ᜆ᜕
ᜀᜉ᜔   ᜈᜃ᜕ᜑ   ᜈ᜔ᜌ
ᜃᜌ᜔ᜐ   ᜐ   ᜁᜈᜀᜐᜑᜈ᜔","Mas maraming boto ang nakuha niya kaysa sa inaasahan."
"sentence_12.png","ᜑ᜔ᜑ᜔ᜈ᜔ᜆᜌ᜔ᜈ᜔   ᜈᜋ᜔ᜈ᜔   ᜀᜉ᜔
ᜂᜉ᜔ᜐ᜔ᜌᜎ᜔   ᜈ   ᜊ᜔ᜎᜉ᜔
ᜉ᜔   ᜊ᜕ᜆ᜕   ᜊᜄ᜕
ᜋᜄ᜔ᜐᜌ","Hihintayin namin ang opisyal na bilang ng boto bago magsaya."
"sentence_13.png","ᜐ   ᜊ᜕ᜆ᜕   ᜉ᜔
ᜃᜊᜆᜀᜈ᜔   ᜈᜃᜐᜎᜎᜌ᜔   ᜀᜉ᜔
ᜃ᜔ᜈᜊ᜕ᜃᜐᜈ᜔   ᜉ᜔   ᜊᜌᜈ᜔","Sa boto ng kabataan nakasalalay ang kinabukasan ng bayan."
"sentence_14.png","ᜀᜉ᜔   ᜑ᜕ᜎ᜔ᜉ᜔   ᜊ᜕ᜆ᜕
ᜀᜌ᜔   ᜋᜄ᜔ᜆᜆᜃ᜔ᜇ   ᜃ᜕ᜉ᜔
ᜐ᜔ᜈ᜕   ᜀᜉ᜔   ᜋᜈᜈᜎ᜕","Ang huling boto ay magtatakda kung sino ang mananalo."
"sentence_15.png","ᜊᜃ᜔ᜆ᜔   ᜃᜌ   ᜑ᜔ᜈ᜔ᜇ᜔
ᜀᜄᜇ᜔   ᜊ᜔ᜈ᜔ᜊ᜔ᜎᜉ᜔   ᜀᜉ᜔
ᜋ᜔ᜄ   ᜊ᜕ᜆ᜕   ᜐ
ᜊᜎ᜕ᜆ","Bakit kaya hindi agad binibilang ang mga boto sa balota."
"sentence_16.png","ᜀᜉ᜔   ᜀᜃ᜔ᜉ᜔   ᜊ᜕ᜆ᜕
ᜀᜌ᜔   ᜉᜇ   ᜐ
ᜃᜈ᜔ᜇ᜔ᜇᜆ᜕ᜉ᜔   ᜋᜌ᜔   ᜋᜎᜐᜃ᜔ᜆ᜔
ᜐ   ᜊᜌᜈ᜔","Ang aking boto ay para sa kandidatong may malasakit sa bayan."
"sentence_17.png","ᜈᜃᜆᜉ᜔ᜄᜉ᜔   ᜐ᜔ᜌ   ᜉ᜔
ᜈᜉᜃᜇᜋ᜔ᜉ᜔   ᜊ᜕ᜆ᜕   ᜋ᜕ᜎ
ᜐ   ᜉ᜔ᜇ᜕ᜊ᜔ᜈ᜔ᜐ᜔ᜌ","Nakatanggap siya ng napakaraming boto mula sa probinsya."
"sentence_18.png","ᜐ᜕ᜋᜃ᜔ᜆ᜔   ᜀᜉ᜔   ᜀᜃ᜔ᜉ᜔
ᜊ᜕ᜆ᜕   ᜐ   ᜎ᜔ᜃ᜕ᜇ᜔
ᜉᜄ᜔ᜃᜆᜉ᜕ᜐ᜔   ᜉ᜔   ᜋᜆ᜔ᜈ᜔ᜇ᜔ᜉ᜔
ᜁᜈ᜔ᜐᜌ᜕","Sumakit ang aking buto sa likod pagkatapos ng matinding ensayo."
"sentence_19.png","ᜈᜄ᜔ᜆᜈ᜔ᜋ᜔   ᜃᜋ᜔   ᜉ᜔
ᜊ᜕ᜆ᜕   ᜉ᜔   ᜀᜋ᜔ᜉᜎᜌ
ᜐ   ᜊᜃ᜕ᜇᜈ᜔   ᜃᜑᜉ᜕ᜈ᜔","Nagtanim kami ng buto ng ampalaya sa bakuran kahapon."
"sentence_20.png","ᜀᜉ᜔   ᜋ᜔ᜄ   ᜊ᜕ᜆ᜕
ᜉ᜔   ᜉ᜔ᜇ᜕ᜆᜐ᜔   ᜀᜌ᜔
ᜋᜇᜎᜐ᜔   ᜈ   ᜆ᜔ᜈᜆᜉ᜕ᜈ᜔
ᜊᜄ᜕   ᜃᜁᜈ᜔ᜈ᜔","Ang mga buto ng prutas ay madalas na tinatapon bago kainin."
"sentence_21.png","ᜁᜉᜆ᜔   ᜐ   ᜆ᜔ᜈ᜔ᜃ᜔
ᜀᜆ᜔   ᜊ᜕ᜆ᜕   ᜃᜉᜄ᜔
ᜃ᜕ᜋᜃᜁᜈ᜔   ᜉ᜔   ᜁᜐ᜔ᜇ","Ingat sa tinik at buto kapag kumakain ng isda."
"sentence_22.png","ᜀᜉ᜔   ᜇ᜕ᜃ᜔ᜆ᜕ᜇ᜔   ᜀᜌ᜔
ᜈᜄ᜔ᜊ᜔ᜄᜌ᜔   ᜉ᜔   ᜉᜌ᜕
ᜉᜈ᜕   ᜉᜎᜃᜐ᜔ᜈ᜔   ᜀᜉ᜔
ᜋ᜔ᜄ   ᜊ᜕ᜆ᜕","Ang doktor ay nagbigay ng payo pano palakasin ang mga buto."
"sentence_23.png","ᜃᜁᜎᜉᜈ᜔   ᜉ᜔   ᜑᜎᜋᜈ᜔
ᜀᜉ᜔   ᜊ᜕ᜆ᜕   ᜉᜇ
ᜎ᜕ᜋᜃ᜔   ᜀᜆ᜔   ᜋᜋ᜕ᜉ","Kailangan ng halaman ang buto para lumaki at mamunga."
"sentence_24.png","ᜈᜆᜄ᜔ᜉ᜕ᜀᜈ᜔   ᜀᜉ᜔   ᜁᜎᜉ᜔
ᜊ᜕ᜆ᜕   ᜉ᜔   ᜑᜌ᜕ᜉ᜔
ᜐ   ᜄ᜕ᜊᜆ᜔   ᜋᜎᜉ᜔ᜆ᜔
ᜐ   ᜁᜎ᜕ᜄ᜔","Natagpuan ang ilang buto ng hayop sa gubat malapit sa ilog."
"sentence_25.png","ᜉ᜔ᜎ᜔ᜁᜈ᜔   ᜀᜉ᜔   ᜐᜇ᜔ᜏᜉ᜔
ᜊ᜕ᜆ᜕   ᜉ᜔   ᜃᜋᜆ᜔ᜐ᜔
ᜉᜇ   ᜐ   ᜉᜄ᜔ᜆᜆᜈ᜔ᜋ᜔","Piliin ang sariwang buto ng kamatis para sa pagtatanim."
