"filename","baybayin_text","latin_text"
"sentence_1.png","ᜀᜌ᜕ᜈ᜔   ᜐ   ᜀᜎᜋᜆ᜔
ᜁᜐᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜀᜉ᜔
ᜄ᜕ᜋᜏ   ᜉ᜔   ᜎᜏ","Ayon sa alamat, isang higante ang gumawa ng lawa."
"sentence_2.png","ᜃ᜔ᜈᜆᜃ᜕ᜆᜈ᜔   ᜉ᜔   ᜋ᜔ᜄ
ᜊᜆ   ᜀᜉ᜔   ᜃ᜔ᜏ᜔ᜈ᜔ᜆ᜕
ᜆ᜕ᜉ᜔ᜃ᜕ᜎ᜔   ᜐ   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Kinatakutan ng mga bata ang kwento tungkol sa higante."
"sentence_3.png","ᜀᜉ᜔   ᜀᜈ᜔ᜈ᜕   ᜐ
ᜉᜇ᜔ᜇ᜔   ᜀᜌ᜔   ᜉᜇᜉ᜔
ᜁᜐᜉ᜔   ᜋᜎᜃ᜔ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Ang anino sa pader ay parang isang malaking higante."
"sentence_4.png","ᜈᜃᜃ᜔ᜆ   ᜐ᜔ᜎ   ᜉ᜔
ᜎᜇᜏᜈ᜔   ᜉ᜔   ᜁᜐᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜐ   ᜎ᜔ᜊ᜔ᜇ᜕","Nakakita sila ng larawan ng isang higante sa libro."
"sentence_5.png","ᜀᜉ᜔   ᜊ᜔ᜇ   ᜐ
ᜉ᜔ᜎ᜔ᜃ᜕ᜎ   ᜀᜌ᜔   ᜎ᜕ᜋᜊᜈ᜔
ᜐ   ᜁᜐᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Ang bida sa pelikula ay lumaban sa isang higante."
"sentence_6.png","ᜄ᜕ᜐ᜔ᜆ᜕ᜉ᜔   ᜋᜄ᜔ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜉ᜔   ᜊᜆ   ᜐ
ᜃᜈ᜔ᜌᜉ᜔   ᜉᜈᜄ᜔ᜈ᜔ᜉ᜔","Gustong maging higante ng bata sa kanyang panaginip."
"sentence_7.png","ᜊ᜔ᜈᜈ᜔ᜐᜄᜈ᜔   ᜐ᜔ᜌᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜇᜑ᜔ᜎ᜔   ᜐ   ᜆᜉ᜔ᜃᜇ᜔
ᜈ᜔ᜆ᜕","Binansagan siyang higante dahil sa tangkad nito."
"sentence_8.png","ᜁᜆ᜕   ᜀᜌ᜔   ᜁᜐᜉ᜔
ᜁᜐ᜔ᜆᜆ᜕ᜏ   ᜉ᜔   ᜁᜐᜉ᜔
ᜆ᜕ᜎ᜕ᜄ᜔   ᜈ   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Ito ay isang istatuwa ng isang tulog na higante."
"sentence_9.png","ᜀᜉ᜔   ᜃᜈ᜔ᜌᜉ᜔   ᜊ᜕ᜐ᜔ᜐ᜔
ᜀᜌ᜔   ᜉᜇᜉ᜔   ᜂᜉ᜕ᜎ᜔
ᜉ᜔   ᜁᜐᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Ang kanyang boses ay parang ungol ng isang higante."
"sentence_10.png","ᜐᜊ᜔   ᜈ᜔ᜎ   ᜁᜐᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜀᜉ᜔   ᜈᜄ᜔ᜊᜈ᜔ᜆᜌ᜔
ᜐ   ᜃᜌᜋᜈᜈ᜔","Sabi nila, isang higante ang nagbantay sa kayamanan."
"sentence_11.png","ᜋᜌ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜇᜏ᜔
ᜈ   ᜈᜄ᜔ᜆᜄ᜕   ᜐ
ᜄ᜕ᜊᜆ᜔","May higante daw na nagtago sa gubat."
"sentence_12.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜆ᜕ᜆ᜕ᜂ   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔ᜇ᜕   ᜈᜃᜃᜆᜃ᜕ᜆ᜔
ᜁᜐ᜔ᜉ᜔ᜈ᜔","Hindi totoo ang higante pero nakakatakot isipin."
"sentence_13.png","ᜁᜐᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜀᜉ᜔
ᜈᜐ   ᜐ᜔ᜈ᜔ᜆ᜔ᜇ᜕   ᜉ᜔
ᜃᜇ᜔ᜈᜊᜎ᜔","Isang higante ang nasa sentro ng karnabal."
"sentence_14.png","ᜄ᜕ᜋᜏ   ᜐ᜔ᜎ   ᜉ᜔
ᜁᜐᜉ᜔   ᜉ᜕ᜉ᜔ᜉ᜔ᜆ᜔   ᜈ
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉᜇ   ᜐ
ᜉᜎᜊᜐ᜔","Gumawa sila ng isang puppet na higante para sa palabas."
"sentence_15.png","ᜆ᜔ᜈᜏᜄ᜔   ᜐ᜔ᜌᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜉ᜔   ᜋ᜔ᜄ   ᜃᜁᜊ᜔ᜄᜈ᜔
ᜈ᜔ᜌ","Tinawag siyang higante ng mga kaibigan niya."
"sentence_16.png","ᜀᜉ᜔   ᜋᜎᜃ᜔ᜉ᜔   ᜉ᜕ᜈ᜕
ᜀᜌ᜔   ᜆ᜔ᜎ   ᜁᜐᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜐ   ᜇ᜔ᜎ᜔ᜋ᜔","Ang malaking puno ay tila isang higante sa dilim."
"sentence_17.png","ᜋᜌ᜔   ᜃᜃᜌᜑᜈ᜔   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜈ   ᜋᜄ᜔ᜎᜃᜇ᜔
ᜐ   ᜁᜎ᜕ᜄ᜔","May kakayahan ang higante na maglakad sa ilog."
"sentence_18.png","ᜀᜉ᜔   ᜃ᜔ᜏ᜔ᜈ᜔ᜆ᜕   ᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜀᜆ᜔   ᜀᜉ᜔
ᜋᜄ᜔ᜐᜐᜃ   ᜀᜌ᜔   ᜉᜊ᜕ᜇ᜔ᜆ᜕
ᜈ᜔ᜌ","Ang kwento ng higante at ang magsasaka ay paborito niya."
"sentence_19.png","ᜈᜄ᜔ᜐᜄᜏ   ᜐ᜔ᜎ   ᜉ᜔
ᜉᜄᜀᜇᜎ᜔   ᜆ᜕ᜉ᜔ᜃ᜕ᜎ᜔   ᜐ
ᜋ᜔ᜄ   ᜀᜎᜋᜆ᜔   ᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔","Nagsagawa sila ng pag-aaral tungkol sa mga alamat ng higante."
"sentence_20.png","ᜀᜉ᜔   ᜋ᜔ᜄ   ᜂᜎᜉ᜔
ᜀᜌ᜔   ᜉᜇᜉ᜔   ᜁᜐᜉ᜔
ᜋ᜕ᜃ᜔ᜑ   ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Ang mga ulap ay parang isang mukha ng higante."
"sentence_21.png","ᜀᜉ᜔   ᜁᜎ᜕ᜄ᜔   ᜀᜌ᜔
ᜄᜏ   ᜇᜏ᜔   ᜉ᜔
ᜁᜐᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜈ
ᜂᜋ᜔ᜁᜌᜃ᜔","Ang ilog ay gawa daw ng isang higante na umiiyak."
"sentence_22.png","ᜐ   ᜊᜄ᜕ᜉ᜔   ᜉ᜔ᜎ᜔ᜃ᜕ᜎ
ᜁᜃᜏ᜔   ᜀᜉ᜔   ᜋᜄ᜔ᜄ᜔ᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔","Sa bagong pelikula, ikaw ang magiging higante."
"sentence_23.png","ᜑ᜔ᜈ᜔ᜇ᜔   ᜈᜈ᜔ᜈ᜔ᜏᜎ   ᜀᜉ᜔
ᜐ᜔ᜌ᜔ᜈ᜔ᜆ᜔ᜉ᜔ᜃ᜕   ᜐ   ᜉᜄ᜔ᜃᜃᜇ᜕ᜂᜈ᜔
ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔","Hindi naniniwala ang siyentipiko sa pagkakaroon ng higante."
"sentence_24.png","ᜀᜉ᜔   ᜋᜎᜃ᜔ᜉ᜔   ᜄ᜕ᜐᜎ᜔
ᜀᜌ᜔   ᜆ᜔ᜎ   ᜁᜐᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜈ   ᜈᜃᜆᜌ᜕","Ang malaking gusali ay tila isang higante na nakatayo."
"sentence_25.png","ᜐ᜔ᜈ᜕   ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜈ   ᜈᜃᜎᜇᜏᜈ᜔   ᜐ
ᜎ᜕ᜋᜉ᜔   ᜋᜉ","Sino ang higante na nakalarawan sa lumang mapa?"
"sentence_26.png","ᜇᜇᜆ᜔ᜉ᜔   ᜀᜉ᜔   ᜀᜇᜏ᜔
ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜀᜉ᜔","Darating ang araw ng higanti ng api."
"sentence_27.png","ᜏᜎᜉ᜔   ᜋᜃᜃᜉ᜔ᜄ᜔ᜎ᜔   ᜃᜉᜄ᜔
ᜐ᜕ᜋ᜔ᜃ᜔ᜎᜊ᜔   ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜉ᜔   ᜀᜉ᜔","Walang makakapigil kapag sumiklab ang higanti ng api."
"sentence_28.png","ᜐ   ᜆᜑ᜔ᜋ᜔ᜃ᜔   ᜈ
ᜄᜎ᜔ᜆ᜔   ᜈᜄ᜔ᜐ᜔ᜐ᜔ᜋ᜕ᜎ   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔   ᜀᜉ᜔","Sa tahimik na galit nagsisimula ang higanti ng api."
"sentence_29.png","ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜀᜉ᜔   ᜀᜌ᜔   ᜑ᜔ᜈ᜔ᜇ᜔
ᜎᜄ᜔ᜉ᜔   ᜋᜇᜑᜐ᜔ᜋ᜔ᜈ᜔ᜐᜈ᜔   ᜁᜆ᜕
ᜀᜌ᜔   ᜑ᜕ᜐ᜔ᜆ᜔ᜐ᜔ᜌ   ᜎᜋᜉ᜔","Ang higanti ng api ay hindi laging marahas,minsan ito ay hustisya lamang."
"sentence_30.png","ᜐ   ᜃᜐᜌ᜔ᜐᜌᜈ᜔   ᜉᜂᜎ᜔ᜆ᜕ᜎ᜔ᜆ᜔
ᜈ   ᜈᜊᜊᜉ᜔ᜆ᜔   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔   ᜋ᜔ᜄ
ᜈᜀᜉ᜔","Sa kasaysayan, paulit-ulit na nababangit ang higanti ng mga naapi."
"sentence_31.png","ᜐ   ᜃᜐᜌ᜔ᜐᜌᜈ᜔   ᜉᜂᜎ᜔ᜆ᜕ᜎ᜔ᜆ᜔
ᜈ   ᜊ᜕ᜋᜊᜎ᜔ᜃ᜔   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔   ᜀᜉ᜔","Sa kasaysayan, paulit-ulit na bumabalik ang higanti ng api."
"sentence_32.png","ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜃᜆ᜕ᜆ᜕ᜑᜈᜈ᜔   ᜀᜌ᜔   ᜉᜄ᜔ᜊ᜕ᜊ᜕ᜈ᜔ᜌᜄ᜔","Ang higanti ng katotohanan ay pagbubunyag."
"sentence_33.png","ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜃ᜕ᜈ᜔ᜐ᜔ᜈ᜔ᜐ᜔ᜌ   ᜀᜌ᜔   ᜏᜎᜉ᜔
ᜃᜉᜌᜉᜀᜈ᜔","Ang higanti ng konsensya ay walang kapayapaan."
"sentence_34.png","ᜀᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜃᜇ᜔ᜋ   ᜀᜌ᜔   ᜑ᜔ᜈ᜔ᜇ᜔
ᜋ᜕   ᜈᜋᜋᜎᜌᜈ᜔","Ang higanti ng karma ay hindi mo namamalayan."
"sentence_35.png","ᜂᜈ᜔ᜆ᜔ᜂᜈ᜔ᜆ᜔   ᜈᜉ᜔   ᜈᜈ᜔ᜈ᜔ᜉ᜔ᜎ᜔
ᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔
ᜃᜎ᜔ᜃᜐᜈ᜔   ᜐ   ᜃᜉᜊᜌᜀᜈ᜔
ᜉ᜔   ᜆᜂ","Unti-unti nang naniningil ng higanti ng kalikasan sa kapabayaan ng tao."
"sentence_36.png","ᜀᜉ᜔   ᜃᜈ᜔ᜎᜉ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜀᜌ᜔   ᜀᜉ᜔   ᜉᜄ᜔ᜊ᜕ᜋ᜔ᜊ
ᜐ   ᜋ᜔ᜄ   ᜐ᜔ᜊ᜔ᜎ᜔ᜌᜈ᜔","Ang kanilang higanti ay ang pagbomba sa mga sibilyan."
"sentence_37.png","ᜋᜌ᜔   ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜐ
ᜊᜏᜆ᜔   ᜋᜎ᜔ᜉ᜔   ᜄ᜔ᜈᜏ","May higanti sa bawat maling ginawa."
"sentence_38.png","ᜐ   ᜊᜏᜆ᜔   ᜉ᜕ᜈ᜕ᜉ᜔
ᜉ᜔ᜈ᜕ᜉ᜕ᜆ᜕ᜎ᜔   ᜋᜐ᜔   ᜎᜎ᜕
ᜈᜆ᜔ᜉ᜔   ᜁᜈ᜔ᜎᜎᜉ᜔ᜆ᜔   ᜀᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜉ᜔   ᜃᜎ᜔ᜃᜐᜈ᜔","Sa bawat punong pinuputol, mas lalo nating inilalapit ang higanti ng kalikasan."
"sentence_39.png","ᜀᜉ᜔   ᜉᜄ᜔ᜊᜑ   ᜀᜆ᜔
ᜉᜄ᜔ᜄ᜕ᜑ᜕   ᜉ᜔   ᜎ᜕ᜉ
ᜀᜌ᜔   ᜆ᜔ᜎ   ᜑ᜔ᜄᜈ᜔ᜆ᜔
ᜉ᜔   ᜃᜎ᜔ᜃᜐᜈ᜔   ᜐ
ᜀᜆ᜔ᜉ᜔   ᜉᜉᜀᜊ᜕ᜐ᜕","Ang pagbaha at pagguho ng lupa ay tila higanti ng kalikasan sa ating pang-aabuso."
"sentence_40.png","ᜁᜐ᜔ᜈ᜕ᜎᜆ᜔   ᜈ᜔ᜌ   ᜀᜉ᜔
ᜃᜈ᜔ᜌᜉ᜔   ᜆ᜔ᜎ   ᜉ᜔ᜎᜈ᜕ᜉ᜔
ᜑ᜔ᜄᜈ᜔ᜆ᜔   ᜐ   ᜁᜐᜉ᜔
ᜆᜎᜀᜇᜏᜈ᜔","Isinulat niya ang kanyang tila planong higanti sa isang talaarawan."
