"filename","baybayin_text","latin_text"
"sentence_1.png","ᜉᜃ᜔ᜀᜊ᜕ᜆ᜔   ᜉ   ᜀᜉ᜔
ᜆ᜕ᜌ᜕   ᜐ   ᜎᜋ᜔ᜐ","Pakiabot nga ang toyo sa lamesa."
"sentence_2.png","ᜈᜄ᜔ᜎᜄᜌ᜔   ᜀᜃ᜕   ᜉ᜔
ᜆ᜕ᜌ᜕   ᜐ   ᜀᜇ᜕ᜊ᜕
ᜉᜇ   ᜋᜐ᜔   ᜋᜎᜐ","Naglagay ako ng toyo sa adobo para mas malasa."
"sentence_3.png","ᜃ᜕ᜎᜉ᜔   ᜀᜉ᜔   ᜂᜎᜋ᜔
ᜃ᜕ᜉ᜔   ᜏᜎᜉ᜔   ᜆ᜕ᜌ᜕","Kulang ang ulam kung walang toyo."
"sentence_4.png","ᜑ᜔ᜈᜎ᜕ᜀᜈ᜔   ᜈ᜔ᜌ   ᜉ᜔
ᜆ᜕ᜌ᜕   ᜀᜉ᜔   ᜐᜏ᜔ᜐᜏᜈ᜔","Hinaluan niya ng toyo ang sawsawan."
"sentence_5.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜀᜃ᜕   ᜉ᜔
ᜁᜐᜉ᜔   ᜊ᜕ᜆ᜔   ᜉ᜔
ᜆ᜕ᜌ᜕   ᜐ   ᜆ᜔ᜈ᜔ᜇᜑᜈ᜔","Bumili ako ng isang bote ng toyo sa tindahan."
"sentence_6.png","ᜈᜆᜉ᜕ᜈ᜔   ᜀᜉ᜔   ᜆ᜕ᜌ᜕
ᜐ   ᜋ᜔ᜐ   ᜃᜈ᜔ᜈ","Natapon ang toyo sa mesa kanina."
"sentence_7.png","ᜋᜐᜇᜉ᜔   ᜀᜉ᜔   ᜉ᜔ᜇ᜔ᜆ᜕ᜉ᜔
ᜁᜐ᜔ᜇ   ᜃᜉᜄ᜔   ᜋᜌ᜔
ᜆ᜕ᜌ᜕","Masarap ang pritong isda kapag may toyo."
"sentence_8.png","ᜈᜄ᜔ᜑᜎ᜕   ᜀᜃ᜕   ᜉ᜔
ᜆ᜕ᜌ᜕   ᜀᜆ᜔   ᜃᜎᜋᜈ᜔ᜐ᜔","Naghalo ako ng toyo at kalamansi."
"sentence_9.png","ᜋᜁᜉᜆ᜔   ᜃ᜕ᜉ᜔   ᜁᜐ᜔ᜈᜇ
ᜀᜉ᜔   ᜊ᜕ᜆ᜔   ᜉ᜔
ᜆ᜕ᜌ᜕","Maingat kong isinara ang bote ng toyo."
"sentence_10.png","ᜈᜂᜊ᜕ᜐ᜔   ᜈ   ᜉᜎ
ᜀᜉ᜔   ᜆ᜕ᜌ᜕   ᜈᜆ᜔ᜈ᜔","Naubos na pala ang toyo natin."
"sentence_11.png","ᜈ᜔ᜎᜄ᜔ᜌᜈ᜔   ᜈ᜔   ᜋᜋ
ᜉ᜔   ᜆ᜕ᜌ᜕   ᜀᜉ᜔
ᜉᜈ᜔ᜐ᜔ᜆ᜔","Nilagyan ni Mama ng toyo ang pansit."
"sentence_12.png","ᜀᜌ᜕ᜃ᜕   ᜉ᜔   ᜐ᜕ᜊ᜔ᜇᜉ᜔
ᜀᜎᜆ᜔   ᜈ   ᜆ᜕ᜌ᜕","Ayoko ng sobrang alat na toyo."
"sentence_13.png","ᜋᜌ᜔   ᜇᜎ   ᜀᜃ᜕ᜉ᜔
ᜋᜎ᜔ᜁᜆ᜔   ᜈ   ᜐᜑ᜔ᜆ᜔
ᜉ᜔   ᜆ᜕ᜌ᜕","May dala akong maliit na sachet ng toyo."
"sentence_14.png","ᜁᜊ   ᜀᜉ᜔   ᜎᜐ
ᜃᜉᜄ᜔   ᜋᜌ᜔   ᜆ᜕ᜌ᜕
ᜀᜉ᜔   ᜂᜎᜋ᜔","Iba ang lasa kapag may toyo ang ulam."
"sentence_15.png","ᜈᜃᜆᜄ᜕   ᜀᜉ᜔   ᜆ᜕ᜌ᜕
ᜐ   ᜃ᜕ᜐ᜔ᜈ","Nakatago ang toyo sa kusina."
"sentence_16.png","ᜇ᜔ᜈᜄ᜔ᜇᜄᜈ᜔   ᜃ᜕   ᜉ
ᜉ᜔   ᜆ᜕ᜌ᜕   ᜀᜉ᜔
ᜃᜈ᜔ᜈ᜔   ᜃ᜕","Dinagdagan ko pa ng toyo ang kanin ko."
"sentence_17.png","ᜉᜊ᜕ᜇ᜔ᜆ᜕   ᜃ᜕ᜉ᜔   ᜐᜏ᜔ᜐᜏᜈ᜔
ᜀᜉ᜔   ᜆ᜕ᜌ᜕   ᜈ
ᜋᜌ᜔   ᜐ᜔ᜎ᜔","Paborito kong sawsawan ang toyo na may sili."
"sentence_18.png","ᜊ᜕ᜋ᜔ᜎ᜔   ᜐ᜔ᜌ   ᜉ᜔
ᜎ᜕ᜏ᜔ᜐ᜕ᜇ᜔ᜂᜋ᜔   ᜈ   ᜆ᜕ᜌ᜕","Bumili siya ng low-sodium na toyo."
